ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,nhs_board,age_group
2020-12-31,0.43259007297473906,1.0562089672060087,1.2943250005517213,0.4325817772786497,0.4325996948003821,0.7461864382023751,0.7461864382023751,0.7461864382023751,0.7461864382023751,0.7461864382023751,0.7461864382023751,0.0,0.0,0.0,1.178776511177114,Dumfries and Galloway,40 and over
2021-12-31,0.442662638312766,1.0880820282282413,1.3402593457590317,0.44263726922444063,0.44269287592884005,0.7675003743506501,0.7675003743506501,0.7675003743506501,0.7675003743506501,0.7675003743506501,0.7675003743506501,0.0,0.0,0.0,1.2101630126634162,Dumfries and Galloway,40 and over
2022-12-31,0.45273520365079284,1.1200987538311256,1.3654316449953001,0.4526852917424743,0.4527913718235823,0.7924983795886885,0.7924983795886885,0.7924983795886885,0.7924983795886885,0.7924983795886885,0.7924983795886885,0.0,0.0,0.0,1.2452335832394814,Dumfries and Galloway,40 and over
2023-12-31,0.46280776898881976,1.1522032738631665,1.4087933973727917,0.4627253651928562,0.4628985458239448,0.8211412939279669,0.8211412939279669,0.8211412939279669,0.8211412939279669,0.8211412939279669,0.8211412939279669,0.0,0.0,0.0,1.2839490629167867,Dumfries and Galloway,40 and over
2024-12-31,0.47290793039626594,1.0929774774523666,1.3419293346918075,0.47279055992088687,0.4730336278403757,0.7461864382021531,0.7461864382021531,0.7461864382021531,0.7461864382021531,0.7461864382021531,0.7461864382021531,0.0,0.0,0.0,1.219094368598419,Dumfries and Galloway,40 and over
2001-01-01,0.48488577727718685,7.343540749853668,9.111226900361673,0.48488577727718685,0.48488577727718685,7.761033760588602,7.761033760588602,7.761033760588602,7.761033760588602,7.761033760588602,7.761033760588602,0.0,0.0,0.0,8.245919537865788,Fife,0 up to 19
2002-01-01,0.17930823565863646,7.123594524998667,8.915249089776106,0.17930823565863646,0.17930823565863646,7.831206976035515,7.831206976035515,7.831206976035515,7.831206976035515,7.831206976035515,7.831206976035515,0.0,0.0,0.0,8.010515211694152,Fife,0 up to 19
2003-01-01,-0.126269306668113,6.8545902262628315,8.63197717525967,-0.126269306668113,-0.126269306668113,7.901641456061391,7.901641456061391,7.901641456061391,7.901641456061391,7.901641456061391,7.901641456061391,0.0,0.0,0.0,7.775372149393278,Fife,0 up to 19
2004-01-01,-0.4318468501904753,6.633640502309145,8.43045869970106,-0.4318468501904753,-0.4318468501904753,7.972250812890794,7.972250812890794,7.972250812890794,7.972250812890794,7.972250812890794,7.972250812890794,0.0,0.0,0.0,7.540403962700318,Fife,0 up to 19
2005-01-01,-0.7382615932825288,6.151497102103048,7.872349708771822,-0.7382615932825288,-0.7382615932825288,7.761033760588868,7.761033760588868,7.761033760588868,7.761033760588868,7.761033760588868,7.761033760588868,0.0,0.0,0.0,7.022772167306339,Fife,0 up to 19
2006-01-01,-1.043839137008845,5.862233348919472,7.724820342817911,-1.043839137008845,-1.043839137008845,7.831206976035207,7.831206976035207,7.831206976035207,7.831206976035207,7.831206976035207,7.831206976035207,0.0,0.0,0.0,6.787367839026363,Fife,0 up to 19
2007-01-01,-1.349432206143784,5.734017182011346,7.506686536153799,-1.349432206143784,-1.349432206143784,7.901641456061105,7.901641456061105,7.901641456061105,7.901641456061105,7.901641456061105,7.901641456061105,0.0,0.0,0.0,6.552209249917321,Fife,0 up to 19
2008-01-01,-1.6550254409401357,5.460243422528853,7.233247774340121,-1.6550254409401357,-1.6550254409401357,7.972250812891165,7.972250812891165,7.972250812891165,7.972250812891165,7.972250812891165,7.972250812891165,0.0,0.0,0.0,6.317225371951029,Fife,0 up to 19
2009-01-01,-1.9615375571302434,4.846331344703042,6.750948136286686,-1.9615375571302434,-1.9615375571302434,7.761033760588412,7.761033760588412,7.761033760588412,7.761033760588412,7.761033760588412,7.761033760588412,0.0,0.0,0.0,5.799496203458169,Fife,0 up to 19
2010-01-01,-2.267317548848031,4.7500079277835185,6.487324652229687,-2.267317548848031,-2.267317548848031,7.831206976035361,7.831206976035361,7.831206976035361,7.831206976035361,7.831206976035361,7.831206976035361,0.0,0.0,0.0,5.5638894271873305,Fife,0 up to 19
2011-01-01,-2.573097542659594,4.415144241226646,6.246029779619652,-2.573097542659594,-2.573097542659594,7.901641456061223,7.901641456061223,7.901641456061223,7.901641456061223,7.901641456061223,7.901641456061223,0.0,0.0,0.0,5.32854391340163,Fife,0 up to 19
2012-01-01,-2.878877543753396,4.2091652061941485,6.016586293814777,-2.878877543753396,-2.878877543753396,7.972250812891141,7.972250812891141,7.972250812891141,7.972250812891141,7.972250812891141,7.972250812891141,0.0,0.0,0.0,5.093373269137745,Fife,0 up to 19
2013-01-01,-3.1854952982630143,3.622033257590402,5.438170222478096,-3.1854952982630143,-3.1854952982630143,7.7610337605888375,7.7610337605888375,7.7610337605888375,7.7610337605888375,7.7610337605888375,7.7610337605888375,0.0,0.0,0.0,4.575538462325824,Fife,0 up to 19
2014-01-01,-3.4912753006233808,3.3892619054208457,5.2178422574759065,-3.4912753006233808,-3.4912753006233808,7.8312069760358,7.8312069760358,7.8312069760358,7.8312069760358,7.8312069760358,7.8312069760358,0.0,0.0,0.0,4.339931675412419,Fife,0 up to 19
2015-01-01,-3.797055303364364,3.101932736484014,4.976082395221491,-3.797055303364364,-3.797055303364364,7.901641456060908,7.901641456060908,7.901641456060908,7.901641456060908,7.901641456060908,7.901641456060908,0.0,0.0,0.0,4.104586152696544,Fife,0 up to 19
2016-01-01,-4.102835307364858,3.0114514108284247,4.749022635784095,-4.102835307364858,-4.102835307364858,7.9722508128911524,7.9722508128911524,7.9722508128911524,7.9722508128911524,7.9722508128911524,7.9722508128911524,0.0,0.0,0.0,3.8694155055262947,Fife,0 up to 19
